species_latin,recording_id,source,source_url,download_url,file_name,country,quality,quality_flag,license_class,license_url,method,playback_used,animal_seen,sample_rate_hz,duration_s,recordist,selection_rank,selection_reason
Tettigonia viridissima,969762,xeno-canto,https://xeno-canto.org/969762,https://xeno-canto.org/969762/download,XC969762-T-viridissima-c20_St-Vallier-de-Thiey-06_2020-07-07_M00132+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,26.0,Julien Barataud,1,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847766,xeno-canto,https://xeno-canto.org/847766,https://xeno-canto.org/847766/download,XC847766-BL20230626-04010031.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,12,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847768,xeno-canto,https://xeno-canto.org/847768,https://xeno-canto.org/847768/download,XC847768-BL20230626-04010034.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,13,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847769,xeno-canto,https://xeno-canto.org/847769,https://xeno-canto.org/847769/download,XC847769-BL20230626-04010035.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,14,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847770,xeno-canto,https://xeno-canto.org/847770,https://xeno-canto.org/847770/download,XC847770-BL20230626-04010036.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,15,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847772,xeno-canto,https://xeno-canto.org/847772,https://xeno-canto.org/847772/download,XC847772-BL20230626-04010038.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,16,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847775,xeno-canto,https://xeno-canto.org/847775,https://xeno-canto.org/847775/download,XC847775-BL20230626-04010041.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,17,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847777,xeno-canto,https://xeno-canto.org/847777,https://xeno-canto.org/847777/download,XC847777-BL20230626-04010043.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,18,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847778,xeno-canto,https://xeno-canto.org/847778,https://xeno-canto.org/847778/download,XC847778-BL20230626-04010044.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,19,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Tettigonia viridissima,847781,xeno-canto,https://xeno-canto.org/847781,https://xeno-canto.org/847781/download,XC847781-BL20230626-04010047.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,20,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,967471,xeno-canto,https://xeno-canto.org/967471,https://xeno-canto.org/967471/download,XC967471-G-campestris-d31_Chanteix-19_220517_1552_0209S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,29.0,Julien Barataud,1,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,967484,xeno-canto,https://xeno-canto.org/967484,https://xeno-canto.org/967484/download,XC967484-G-campestris-n15_Chanteix-19_220513_2242_0193S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,32.0,Julien Barataud,2,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,967442,xeno-canto,https://xeno-canto.org/967442,https://xeno-canto.org/967442/download,XC967442-G-campestris-c14_Chanteix-19_20210422_211055_01+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,33.0,Julien Barataud,3,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,1095680,xeno-canto,https://xeno-canto.org/1095680,https://xeno-canto.org/1095680/download,XC1095680-G-campestris-n09_Chanteix-19_250505_2225_0874S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,34.0,Julien Barataud,4,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,967483,xeno-canto,https://xeno-canto.org/967483,https://xeno-canto.org/967483/download,XC967483-G-campestris-n14_Chanteix-19_220506_2139_0162S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,35.0,Julien Barataud,5,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,967489,xeno-canto,https://xeno-canto.org/967489,https://xeno-canto.org/967489/download,XC967489-G-campestris-n18_Masegoso-ES-AB_230701_2318_0709S1+++.wav,Spain,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,36.0,Julien Barataud,6,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,967476,xeno-canto,https://xeno-canto.org/967476,https://xeno-canto.org/967476/download,XC967476-G-campestris-n10_Chanteix-19_230425_2149_0565S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,37.0,Julien Barataud,7,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,967447,xeno-canto,https://xeno-canto.org/967447,https://xeno-canto.org/967447/download,XC967447-G-campestris-c18_Chanteix-19_220508_2123_0167S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,40.0,Julien Barataud,8,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,1095679,xeno-canto,https://xeno-canto.org/1095679,https://xeno-canto.org/1095679/download,XC1095679-G-campestris-n09_Chanteix-19_250505_2221_0873S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,45.0,Julien Barataud,9,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,1095677,xeno-canto,https://xeno-canto.org/1095677,https://xeno-canto.org/1095677/download,XC1095677-G-campestris-d28_Chanteix-19_250617_1747_0875S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,48.0,Julien Barataud,10,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,1095678,xeno-canto,https://xeno-canto.org/1095678,https://xeno-canto.org/1095678/download,XC1095678-G-campestris-d28_Chanteix-19_250617_1749_0876S1+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,96000,49.0,Julien Barataud,11,quality=A; license=open; method=field recording; playback=no; sample_rate=96000
Gryllus campestris,967464,xeno-canto,https://xeno-canto.org/967464,https://xeno-canto.org/967464/download,XC967464-G-campestris-d27_Hontoria-de-la-Cantera-ES-BU_2023-06-27_19_14_28_M00006++.wav,Spain,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,17.0,Julien Barataud,12,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,967462,xeno-canto,https://xeno-canto.org/967462,https://xeno-canto.org/967462/download,XC967462-G-campestris-d27_Chasteaux-19_20210530_170117++.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,19.0,Julien Barataud,13,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,849988,xeno-canto,https://xeno-canto.org/849988,https://xeno-canto.org/849988/download,XC849988-NoID_20230725_162808.wav,Albania,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,21.0,Baudewijn Odé,14,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,849987,xeno-canto,https://xeno-canto.org/849987,https://xeno-canto.org/849987/download,XC849987-NoID_20230725_162743.wav,Albania,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,22.0,Baudewijn Odé,15,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,967477,xeno-canto,https://xeno-canto.org/967477,https://xeno-canto.org/967477/download,XC967477-G-campestris-n12_Chanteix-19_2020-05-03_23_20_40_M00004++.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,24.0,Julien Barataud,16,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,967460,xeno-canto,https://xeno-canto.org/967460,https://xeno-canto.org/967460/download,XC967460-G-campestris-d25_Chasteaux-19_20210530_123434++.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,31.0,Julien Barataud,17,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,967480,xeno-canto,https://xeno-canto.org/967480,https://xeno-canto.org/967480/download,XC967480-G-campestris-n13_Chanteix-19_2020-06-14_23_00_12_M00014++.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,31.0,Julien Barataud,18,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,967461,xeno-canto,https://xeno-canto.org/967461,https://xeno-canto.org/967461/download,XC967461-G-campestris-d26_Cristinacce-2A_2022-07-06_20_07_04_M00036++.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,32.0,Julien Barataud,19,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Gryllus campestris,967459,xeno-canto,https://xeno-canto.org/967459,https://xeno-canto.org/967459/download,XC967459-G-campestris-d24_Chanteix-19_2020-05-17_16_04_42_M00008++.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,33.0,Julien Barataud,20,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,968627,xeno-canto,https://xeno-canto.org/968627,https://xeno-canto.org/968627/download,XC968627-P-griseoaptera-n11_Vigeois-19_20211015_213903+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,29.0,Julien Barataud,1,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,968607,xeno-canto,https://xeno-canto.org/968607,https://xeno-canto.org/968607/download,XC968607-P-griseoaptera-c13_Chanteix-19_2019-09-23_20_51_05_M00003_cht-rivalite+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,70.0,Julien Barataud,2,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847627,xeno-canto,https://xeno-canto.org/847627,https://xeno-canto.org/847627/download,XC847627-BL20220723-04010002.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,3,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847628,xeno-canto,https://xeno-canto.org/847628,https://xeno-canto.org/847628/download,XC847628-BL20220723-04010003.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,4,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847631,xeno-canto,https://xeno-canto.org/847631,https://xeno-canto.org/847631/download,XC847631-BL20220723-04010006.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,5,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847633,xeno-canto,https://xeno-canto.org/847633,https://xeno-canto.org/847633/download,XC847633-BL20220723-04010008.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,6,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847636,xeno-canto,https://xeno-canto.org/847636,https://xeno-canto.org/847636/download,XC847636-BL20220723-04010011.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,2.0,Baudewijn Odé,7,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847630,xeno-canto,https://xeno-canto.org/847630,https://xeno-canto.org/847630/download,XC847630-BL20220723-04010005.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,3.0,Baudewijn Odé,8,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847632,xeno-canto,https://xeno-canto.org/847632,https://xeno-canto.org/847632/download,XC847632-BL20220723-04010007.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,3.0,Baudewijn Odé,9,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847637,xeno-canto,https://xeno-canto.org/847637,https://xeno-canto.org/847637/download,XC847637-BL20220723-04010012.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,3.0,Baudewijn Odé,10,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847635,xeno-canto,https://xeno-canto.org/847635,https://xeno-canto.org/847635/download,XC847635-BL20220723-04010010.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,4.0,Baudewijn Odé,11,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847638,xeno-canto,https://xeno-canto.org/847638,https://xeno-canto.org/847638/download,XC847638-BL20220723-04010013.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,4.0,Baudewijn Odé,12,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847640,xeno-canto,https://xeno-canto.org/847640,https://xeno-canto.org/847640/download,XC847640-BL20220723-04010015.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,5.0,Baudewijn Odé,13,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,851722,xeno-canto,https://xeno-canto.org/851722,https://xeno-canto.org/851722/download,XC851722-NOISE_20200813_180310.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,5.0,Baudewijn Odé,14,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847629,xeno-canto,https://xeno-canto.org/847629,https://xeno-canto.org/847629/download,XC847629-BL20220723-04010004.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,6.0,Baudewijn Odé,15,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847634,xeno-canto,https://xeno-canto.org/847634,https://xeno-canto.org/847634/download,XC847634-BL20220723-04010009.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,6.0,Baudewijn Odé,16,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,847639,xeno-canto,https://xeno-canto.org/847639,https://xeno-canto.org/847639/download,XC847639-BL20220723-04010014.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,7.0,Baudewijn Odé,17,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,849665,xeno-canto,https://xeno-canto.org/849665,https://xeno-canto.org/849665/download,XC849665-NoID_20200814_165154.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,16.0,Baudewijn Odé,18,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,846585,xeno-canto,https://xeno-canto.org/846585,https://xeno-canto.org/846585/download,XC846585-20200813_165946.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,18.0,Baudewijn Odé,19,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Pholidoptera griseoaptera,850169,xeno-canto,https://xeno-canto.org/850169,https://xeno-canto.org/850169/download,XC850169-NoID_20230902_220447.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,18.0,Baudewijn Odé,20,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,1095719,xeno-canto,https://xeno-canto.org/1095719,https://xeno-canto.org/1095719/download,XC1095719-L-punctatissima_P-nana-n16_Lureuil-36_2025-09-17_21_29_27_M00009++rep-femelle.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,29.0,Julien Barataud,1,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,967730,xeno-canto,https://xeno-canto.org/967730,https://xeno-canto.org/967730/download,XC967730-L-punctatissima-n16_Clergoux-19_2021-08-31_22_25_42_M00052+++rep-femelle.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,40.0,Julien Barataud,2,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,967731,xeno-canto,https://xeno-canto.org/967731,https://xeno-canto.org/967731/download,XC967731-L-punctatissima-n16_Clergoux-19_2021-08-31_22_32_00_M00053+++.wav,France,A,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,51.0,Julien Barataud,3,quality=A; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,846655,xeno-canto,https://xeno-canto.org/846655,https://xeno-canto.org/846655/download,XC846655-20210903_204934.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,5.0,Baudewijn Odé,4,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,846656,xeno-canto,https://xeno-canto.org/846656,https://xeno-canto.org/846656/download,XC846656-20210903_204939.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,5.0,Baudewijn Odé,5,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,846657,xeno-canto,https://xeno-canto.org/846657,https://xeno-canto.org/846657/download,XC846657-20210903_204945.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,5.0,Baudewijn Odé,6,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,851720,xeno-canto,https://xeno-canto.org/851720,https://xeno-canto.org/851720/download,XC851720-NOISE_20200813_175924.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,5.0,Baudewijn Odé,7,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,851721,xeno-canto,https://xeno-canto.org/851721,https://xeno-canto.org/851721/download,XC851721-NOISE_20200813_175950.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,5.0,Baudewijn Odé,8,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,846654,xeno-canto,https://xeno-canto.org/846654,https://xeno-canto.org/846654/download,XC846654-20210903_204910.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,9.0,Baudewijn Odé,9,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849620,xeno-canto,https://xeno-canto.org/849620,https://xeno-canto.org/849620/download,XC849620-NoID_20200813_163919.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,10.0,Baudewijn Odé,10,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849648,xeno-canto,https://xeno-canto.org/849648,https://xeno-canto.org/849648/download,XC849648-NoID_20200813_175939.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,11.0,Baudewijn Odé,11,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849659,xeno-canto,https://xeno-canto.org/849659,https://xeno-canto.org/849659/download,XC849659-NoID_20200814_164413.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,11.0,Baudewijn Odé,12,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,846652,xeno-canto,https://xeno-canto.org/846652,https://xeno-canto.org/846652/download,XC846652-20210903_204854.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,13.0,Baudewijn Odé,13,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849640,xeno-canto,https://xeno-canto.org/849640,https://xeno-canto.org/849640/download,XC849640-NoID_20200813_173943.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,14.0,Baudewijn Odé,14,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,850163,xeno-canto,https://xeno-canto.org/850163,https://xeno-canto.org/850163/download,XC850163-NoID_20230820_161706.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,14.0,Baudewijn Odé,15,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849624,xeno-canto,https://xeno-canto.org/849624,https://xeno-canto.org/849624/download,XC849624-NoID_20200813_164521.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,15.0,Baudewijn Odé,16,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849638,xeno-canto,https://xeno-canto.org/849638,https://xeno-canto.org/849638/download,XC849638-NoID_20200813_173848.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,15.0,Baudewijn Odé,17,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,850148,xeno-canto,https://xeno-canto.org/850148,https://xeno-canto.org/850148/download,XC850148-NoID_20230820_154834.wav,Netherlands,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,15.0,Baudewijn Odé,18,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849637,xeno-canto,https://xeno-canto.org/849637,https://xeno-canto.org/849637/download,XC849637-NoID_20200813_173823.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,16.0,Baudewijn Odé,19,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
Leptophyes punctatissima,849639,xeno-canto,https://xeno-canto.org/849639,https://xeno-canto.org/849639/download,XC849639-NoID_20200813_173918.wav,France,B,ok,open,https://creativecommons.org/licenses/by-sa/4.0/,field recording,no,yes,384000,17.0,Baudewijn Odé,20,quality=B; license=open; method=field recording; playback=no; sample_rate=384000
